BIN,ChargebackFlag
100002,0.0
100016,0.0
100022,0.0
100034,0.0
100037,0.0
100038,0.0
100100,0.0
100120,0.0
100127,0.0
100142,0.0
100151,0.0
100156,0.0
100189,0.0
100192,0.0
100199,0.0
100526,0.0
100529,0.0
100530,0.0
100531,0.0
100534,0.0
100535,0.0
100536,0.0
100544,0.0
100552,0.0
100561,0.0
100572,0.0
100578,0.0
100582,0.0
100586,0.0
100588,0.0
100616,0.0
100626,0.0
100636,0.0
100651,0.0
100653,0.0
100672,0.0
100687,0.0
100689,0.0
101602,0.0
101607,0.0
101609,0.0
101624,0.0
101635,0.0
101645,0.0
101652,0.0
101654,0.0
101656,0.0
101678,0.0
103003,0.0
103023,0.0
103025,0.0
103052,0.0
103055,0.0
103073,0.0
103087,1.0
103100,0.0
103107,0.0
103108,0.0
103119,0.0
103120,0.0
103143,0.0
103148,0.0
103149,1.0
103151,1.0
103152,0.0
103186,0.0
103189,0.0
103196,0.0
103201,0.0
103204,0.0
103216,1.0
103239,0.0
103242,0.0
103246,0.0
103256,0.0
103257,0.0
103259,0.0
103270,0.0
103282,0.0
103288,0.0
103300,0.0
103304,0.0
103313,0.0
103317,0.0
103320,0.0
103330,0.0
103337,0.0
103340,0.0
103341,0.0
103350,0.0
103391,0.0
103411,0.0
103416,0.0
103420,0.0
103422,0.0
103432,0.0
103433,0.0
103464,0.0
103478,0.0
103486,0.0
103505,0.0
103521,0.0
103529,0.0
103548,0.0
103571,0.0
103590,0.0
103598,0.0
103603,0.0
103605,0.0
103609,0.0
103616,0.0
103623,0.0
103632,0.0
103642,0.0
103645,0.0
103647,0.0
103648,0.0
103675,0.0
103679,0.0
103683,0.0
103695,0.0
103700,0.0
103735,0.0
103738,0.0
103753,0.0
103763,0.0
103769,0.0
103777,0.0
103779,0.0
103783,0.0
103788,0.0
103789,0.0
103791,0.0
103796,0.0
103799,0.0
103801,0.0
103802,0.0
103805,0.0
103806,0.0
103807,0.0
103810,0.0
103812,0.0
103820,0.0
103827,0.0
103844,0.0
103847,0.0
103849,0.0
103857,0.0
103860,0.0
103867,0.0
103883,0.0
103886,0.0
103889,0.0
103895,0.0
103898,0.0
103930,0.0
103931,0.0
103936,0.0
103953,0.0
103966,0.0
103967,0.0
103977,0.0
103985,0.0
103988,0.0
103990,0.0
103992,0.0
103993,0.0
103995,0.0
108101,0.0
108102,0.0
108103,0.0
108106,0.0
108110,0.0
108115,0.0
108123,0.0
108124,1.0
108138,0.0
108149,0.0
108155,0.0
108160,0.0
108162,0.0
108184,0.0
108186,0.0
108189,0.0
108191,0.0
108193,0.0
108197,0.0
111223,0.0
111258,0.0
111260,0.0
111276,0.0
111301,0.0
112502,0.0
112514,0.0
112520,0.0
112523,0.0
112548,0.0
112565,0.0
112577,0.0
