BIN,IssuingCountry,ChargebackFlag
100002,INDIA,0.0
100016,INDIA,0.0
100022,INDIA,0.0
100034,INDIA,0.0
100037,INDIA,0.0
100038,INDIA,0.0
100100,UNITED STATES,0.0
100120,UNITED STATES,0.0
100127,UNITED STATES,0.0
100142,UNITED STATES,0.0
100151,UNITED STATES,0.0
100156,UNITED STATES,0.0
100189,UNITED STATES,0.0
100192,UNITED STATES,0.0
100199,UNITED STATES,0.0
100526,UNITED STATES,0.0
100529,UNITED STATES,0.0
100530,UNITED STATES,0.0
100531,UNITED STATES,0.0
100534,UNITED STATES,0.0
100535,UNITED STATES,0.0
100536,UNITED STATES,0.0
100544,UNITED STATES,0.0
100552,UNITED STATES,0.0
100561,UNITED STATES,0.0
100572,UNITED STATES,0.0
100578,UNITED STATES,0.0
100582,UNITED STATES,0.0
100586,UNITED STATES,0.0
100588,UNITED STATES,0.0
100616,UNITED STATES,0.0
100626,UNITED STATES,0.0
100636,UNITED STATES,0.0
100651,UNITED STATES,0.0
100653,UNITED STATES,0.0
100672,UNITED STATES,0.0
100687,UNITED STATES,0.0
100689,UNITED STATES,0.0
101602,UNITED STATES,0.0
101607,UNITED STATES,0.0
101609,UNITED STATES,0.0
101624,UNITED STATES,0.0
101635,UNITED STATES,0.0
101645,UNITED STATES,0.0
101652,UNITED STATES,0.0
101654,UNITED STATES,0.0
101656,UNITED STATES,0.0
101678,UNITED STATES,0.0
103003,CHINA,0.0
103023,CHINA,0.0
103025,CHINA,0.0
103052,CHINA,0.0
103055,CHINA,0.0
103073,CHINA,0.0
103087,CHINA,1.0
103100,CHINA,0.0
103107,CHINA,0.0
103108,CHINA,0.0
103119,CHINA,0.0
103120,CHINA,0.0
103143,CHINA,0.0
103148,CHINA,0.0
103149,CHINA,1.0
103151,CHINA,1.0
103152,CHINA,0.0
103186,CHINA,0.0
103189,CHINA,0.0
103196,CHINA,0.0
103201,CHINA,0.0
103204,CHINA,0.0
103216,CHINA,1.0
103239,CHINA,0.0
103242,CHINA,0.0
103246,CHINA,0.0
103256,CHINA,0.0
103257,CHINA,0.0
103259,CHINA,0.0
103270,CHINA,0.0
103282,CHINA,0.0
103288,CHINA,0.0
103300,CHINA,0.0
103304,CHINA,0.0
103313,CHINA,0.0
103317,CHINA,0.0
103320,CHINA,0.0
103330,CHINA,0.0
103337,CHINA,0.0
103340,CHINA,0.0
103341,CHINA,0.0
103350,CHINA,0.0
103391,CHINA,0.0
103411,CHINA,0.0
103416,CHINA,0.0
103420,CHINA,0.0
103422,CHINA,0.0
103432,CHINA,0.0
103433,CHINA,0.0
103464,CHINA,0.0
103478,CHINA,0.0
103486,CHINA,0.0
103505,CHINA,0.0
103521,CHINA,0.0
103529,CHINA,0.0
103548,CHINA,0.0
103571,CHINA,0.0
103590,CHINA,0.0
103598,CHINA,0.0
103603,CHINA,0.0
103605,CHINA,0.0
103609,CHINA,0.0
103616,CHINA,0.0
103623,CHINA,0.0
103632,CHINA,0.0
103642,CHINA,0.0
103645,CHINA,0.0
103647,CHINA,0.0
103648,CHINA,0.0
103675,CHINA,0.0
103679,CHINA,0.0
103683,CHINA,0.0
103695,CHINA,0.0
103700,UNITED STATES,0.0
103735,UNITED STATES,0.0
103738,UNITED STATES,0.0
103753,UNITED STATES,0.0
103763,UNITED STATES,0.0
103769,UNITED STATES,0.0
103777,UNITED STATES,0.0
103779,UNITED STATES,0.0
103783,UNITED STATES,0.0
103788,UNITED STATES,0.0
103789,UNITED STATES,0.0
103791,UNITED STATES,0.0
103796,UNITED STATES,0.0
103799,UNITED STATES,0.0
103801,CHINA,0.0
103802,CHINA,0.0
103805,CHINA,0.0
103806,CHINA,0.0
103807,CHINA,0.0
103810,CHINA,0.0
103812,CHINA,0.0
103820,CHINA,0.0
103827,CHINA,0.0
103844,CHINA,0.0
103847,CHINA,0.0
103849,CHINA,0.0
103857,CHINA,0.0
103860,CHINA,0.0
103867,CHINA,0.0
103883,CHINA,0.0
103886,CHINA,0.0
103889,CHINA,0.0
103895,CHINA,0.0
103898,CHINA,0.0
103930,CHINA,0.0
103931,CHINA,0.0
103936,CHINA,0.0
103953,CHINA,0.0
103966,CHINA,0.0
103967,CHINA,0.0
103977,CHINA,0.0
103985,CHINA,0.0
103988,CHINA,0.0
103990,CHINA,0.0
103992,CHINA,0.0
103993,CHINA,0.0
103995,CHINA,0.0
108101,AUSTRALIA,0.0
108102,AUSTRALIA,0.0
108103,AUSTRALIA,0.0
108106,AUSTRALIA,0.0
108110,AUSTRALIA,0.0
108115,AUSTRALIA,0.0
108123,AUSTRALIA,0.0
108124,AUSTRALIA,1.0
108138,AUSTRALIA,0.0
108149,AUSTRALIA,0.0
108155,AUSTRALIA,0.0
108160,AUSTRALIA,0.0
108162,AUSTRALIA,0.0
108184,AUSTRALIA,0.0
108186,AUSTRALIA,0.0
108189,AUSTRALIA,0.0
108191,AUSTRALIA,0.0
108193,AUSTRALIA,0.0
108197,AUSTRALIA,0.0
111223,UNITED KINGDOM,0.0
111258,UNITED KINGDOM,0.0
111260,UNITED KINGDOM,0.0
111276,UNITED KINGDOM,0.0
111301,UNITED STATES,0.0
112502,UNITED KINGDOM,0.0
112514,UNITED KINGDOM,0.0
112520,UNITED KINGDOM,0.0
112523,UNITED KINGDOM,0.0
112548,UNITED KINGDOM,0.0
112565,UNITED KINGDOM,0.0
112577,UNITED KINGDOM,0.0
112579,UNITED KINGDOM,1.0
112707,BRAZIL,0.0
112713,BRAZIL,0.0
112720,BRAZIL,0.0
112727,BRAZIL,0.0
112756,BRAZIL,0.0
112758,BRAZIL,0.5
112763,BRAZIL,0.0
112771,BRAZIL,0.0
112786,BRAZIL,0.0
112793,BRAZIL,0.0
112798,BRAZIL,0.0
113135,JAPAN,0.0
113144,JAPAN,0.0
113152,JAPAN,0.0
113156,JAPAN,0.0
113168,JAPAN,0.0
113176,JAPAN,0.0
